"District","Party","Candidate","Votes","Percent","Incumbency","Winner","Chamber","Election","Year"
"District 31","Democratic","Joaquin Arambula (incumbent)",44255,60.8,"Yes","Winner","Assembly","General",2022
"District 31","Republican","Dolce Misol Calandra",28557,39.2,"No","Loser","Assembly","General",2022
"District 32","Republican","Vince Fong (incumbent)",129323,100,"Yes","Winner","Assembly","General",2022
"District 33","Republican","Devon J. Mathis (incumbent)",52436,62.5,"Yes","Winner","Assembly","General",2022
"District 33","Democratic","Jose Sigala",31486,37.5,"No","Loser","Assembly","General",2022
"District 34","Republican","Tom Lackey (incumbent)",63840,56.5,"Yes","Winner","Assembly","General",2022
"District 34","Republican","Thurston Smith (incumbent)",49183,43.5,"Yes","Loser","Assembly","General",2022
"District 35","Democratic","Jasmeet Bains",35997,60.3,"No","Winner","Assembly","General",2022
"District 35","Democratic","Leticia Perez",23707,39.7,"No","Loser","Assembly","General",2022
"District 36","Democratic","Eduardo Garcia (incumbent)",50482,53.4,"Yes","Winner","Assembly","General",2022
"District 36","Republican","Ian M. Weeks",44055,46.6,"No","Loser","Assembly","General",2022
"District 37","Democratic","Gregg Hart",84345,58,"No","Winner","Assembly","General",2022
"District 37","Republican","Mike Stoker",60959,42,"No","Loser","Assembly","General",2022
"District 38","Democratic","Steve Bennett (incumbent)",79709,61.2,"Yes","Winner","Assembly","General",2022
"District 38","Republican","Cole Brocato",50544,38.8,"No","Loser","Assembly","General",2022
"District 39","Democratic","Juan Carrillo",37531,57,"No","Winner","Assembly","General",2022
"District 39","Republican","Paul Andre Marsh",28291,43,"No","Loser","Assembly","General",2022
"District 40","Democratic","Pilar Schiavo",79852,50.2,"No","Winner","Assembly","General",2022
"District 40","Republican","Suzette Martinez Valladares (incumbent)",79330,49.8,"Yes","Loser","Assembly","General",2022
"District 41","Democratic","Chris Holden (incumbent)",104740,60,"Yes","Winner","Assembly","General",2022
"District 41","Republican","Michael McMahon",69835,40,"No","Loser","Assembly","General",2022
"District 42","Democratic","Jacqui Irwin (incumbent)",118131,55,"Yes","Winner","Assembly","General",2022
"District 42","Republican","Lori Mills",96482,45,"No","Loser","Assembly","General",2022
"District 43","Democratic","Luz Maria Rivas (incumbent)",55282,74.6,"Yes","Winner","Assembly","General",2022
"District 43","Republican","Siaka Massaquoi",18782,25.4,"No","Loser","Assembly","General",2022
"District 44","Democratic","Laura Friedman (incumbent)",113380,71.4,"Yes","Winner","Assembly","General",2022
"District 44","Republican","Barry Curtis Jacobsen",45519,28.6,"No","Loser","Assembly","General",2022
"District 45","Democratic","James C. Ramos (incumbent)",45194,60.7,"Yes","Winner","Assembly","General",2022
"District 45","Republican","Joseph W. Martinez",29209,39.3,"No","Loser","Assembly","General",2022
"District 46","Democratic","Jesse Gabriel (incumbent)",78726,65.4,"Yes","Winner","Assembly","General",2022
"District 46","Republican","Dana Caruso",41619,34.6,"No","Loser","Assembly","General",2022
"District 47","Republican","Greg Wallis",84752,50.03,"No","Winner","Assembly","General",2022
"District 47","Democratic","Christy Holstege",84667,49.97,"No","Loser","Assembly","General",2022
"District 48","Democratic","Blanca Rubio (incumbent)",60770,60.8,"Yes","Winner","Assembly","General",2022
"District 48","Republican","Ryan Maye",39110,39.2,"No","Loser","Assembly","General",2022
"District 49","Democratic","Mike Fong (incumbent)",65965,66.6,"Yes","Winner","Assembly","General",2022
"District 49","Republican","Burton Brink",33024,33.4,"No","Loser","Assembly","General",2022
"District 50","Democratic","Eloise Gomez Reyes (incumbent)",51340,56.9,"Yes","Winner","Assembly","General",2022
"District 50","Republican","Sheela Stark",38851,43.1,"No","Loser","Assembly","General",2022
"District 51","Democratic","Rick Chavez Zbur",76110,54.9,"No","Winner","Assembly","General",2022
"District 51","Democratic","Louis Abramson",62647,45.1,"No","Loser","Assembly","General",2022
"District 52","Democratic","Wendy Carrillo (incumbent)",65039,56.9,"Yes","Winner","Assembly","General",2022
